page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/adficient,5.9,Advertising & Marketing,2009,3
https://www.inc.com/profile/raddish-kids,8.8,Consumer Products & Services,2014,17
https://www.inc.com/profile/titan-mechanical,16,Construction,2014,32
https://www.inc.com/profile/nanamacs-clothing,12,Retail,2012,NA
https://www.inc.com/profile/perimeter-security-partners,15.3,Security,2014,22
https://www.inc.com/profile/lync-logistics,28,Logistics & Transportation,2014,36
https://www.inc.com/profile/cox-residential,2.6,Construction,2013,11
https://www.inc.com/profile/stealth-iss-group,2.6,IT Management,2002,NA
https://www.inc.com/profile/seeq-corporation,3.1,Software,2013,85
https://www.inc.com/profile/m7-services,4.7,IT Management,2014,30
https://www.inc.com/profile/healthy-human,2.7,Retail,2015,6
https://www.inc.com/profile/professional-hair-labs,6.4,Health,1994,10
https://www.inc.com/profile/strategic-alliance-business-group,21.7,Government Services,2005,NA
https://www.inc.com/profile/Synup,3.4,IT Management,2014,121
https://www.inc.com/profile/first-stop-health,4,Health,2011,24
https://www.inc.com/profile/boxycharm,137.2,Consumer Products & Services,2013,90
https://www.inc.com/profile/wearme-pro,3.8,Retail,2014,6
https://www.inc.com/profile/vidoori,31.4,IT Management,2008,131
https://www.inc.com/profile/stackify,2,Software,2012,45
https://www.inc.com/profile/xy---the-persistent-company,21.6,Software,2012,75
https://www.inc.com/profile/dental-intelligence,7,Health,2015,84
https://www.inc.com/profile/simpletire,255.9,Retail,2012,56
https://www.inc.com/profile/creative-state-marketing,6.2,Advertising & Marketing,2014,21
https://www.inc.com/profile/urbanstems,12.8,Consumer Products & Services,2014,90
https://www.inc.com/profile/gcubed-enterprises,5.1,IT Management,2014,47
https://www.inc.com/profile/sweetscience-marketing,2.5,Advertising & Marketing,2014,12
https://www.inc.com/profile/rentedcom,4.8,Travel & Hospitality,2013,28
https://www.inc.com/profile/lakarya,2.9,IT System Development,2013,11
https://www.inc.com/profile/cosset,4.6,Retail,2014,70
https://www.inc.com/profile/tomahawk-strategic-solutions,2.8,Security,2014,12
https://www.inc.com/profile/della-infotech,4.7,IT Management,2012,115
https://www.inc.com/profile/realvolve,2,Software,2014,24
https://www.inc.com/profile/edvenswa-tech,2.9,Software,2012,52
https://www.inc.com/profile/upnest,10.1,Real Estate,2013,NA
https://www.inc.com/profile/double-wood,6.9,Health,2013,3
https://www.inc.com/profile/van-law-firm,3,Consumer Products & Services,2012,25
https://www.inc.com/profile/apogee-stores,5.4,Retail,2014,5
https://www.inc.com/profile/new-credit-america,15.4,Financial Services,2014,42
https://www.inc.com/profile/bore-tech-utilities,9.5,Government Services,2011,52
https://www.inc.com/profile/anna-marie-events,4.1,Business Products & Services,2012,4
https://www.inc.com/profile/pattern,211.2,Advertising & Marketing,2013,118
https://www.inc.com/profile/advanced-operations-partners,24,Business Products & Services,2005,50
https://www.inc.com/profile/newline-interactive,32.7,Computer Hardware,2012,37
https://www.inc.com/profile/grooveco,3.6,Software,2014,32
https://www.inc.com/profile/g2,21.5,Software,2012,255
https://www.inc.com/profile/lean-staffing-solutions,5.6,Human Resources,2008,10
https://www.inc.com/profile/vigene-biosciences,11.6,Health,2012,55
