page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/quirk-creative,3.3,Advertising & Marketing,2015,9,findyourquirk.com,3.3 M,2205%,50000,46.80%,Secure,178
https://www.inc.com/profile/tricopian,7,Consumer Products & Services,2011,18,fuel-rod.com,7 M,2172%,50000,51.56%,Secure,179
https://www.inc.com/profile/efficient-home-services-of-florida,9.9,Energy,2011,50,ehsfl.com,9.9 M,2155%,50000,35.16%,Secure,180
https://www.inc.com/profile/fitness-cubed,10.3,Manufacturing,2014,13,cubii.com,10.3 M,2142%,50000,44.98%,Secure,181
https://www.inc.com/profile/velox-media,3.1,Advertising & Marketing,2007,NA,veloxmedia.com,3.1 M,2142%,50000,44.43%,Secure,182
https://www.inc.com/profile/1link-technology,4.6,IT Management,2014,55,1linktechnology.com,4.6 M,2138%,50000,NA,Secure,183
https://www.inc.com/profile/quadrant-resource,12.8,Software,2004,100,quadrantresource.com,12.8 M,2123%,50000,58.55%,Not Secure,184
https://www.inc.com/profile/myhealth,2.7,Health,2015,64,chartrequest.com,2.7 M,2116%,50000,29.51%,Secure,185
https://www.inc.com/profile/velocity-global,85.8,Business Products & Services,2014,NA,velocityglobal.com,85.8 M,2112%,NA,66.71%,Secure,186
https://www.inc.com/profile/oseth-group,5.4,Construction,2015,23,osethgroup.com,5.4 M,2107%,50000,NA,Secure,187
https://www.inc.com/profile/koia,8.2,Food & Beverage,2013,15,drinkkoia.com,8.2 M,2101%,50000,79.54%,Secure,188
https://www.inc.com/profile/sifted,6.9,Food & Beverage,2015,142,sifted.co,6.9 M,2099%,50000,6.54%,Secure,189
https://www.inc.com/profile/prx-performance,7.2,Retail,2013,NA,prxperformance.com,7.2 M,2098%,50000,41.53%,Secure,190
https://www.inc.com/profile/universal-yums,12.7,Food & Beverage,2014,28,universalyums.com,12.7 M,2096%,NA,23.54%,Secure,191
https://www.inc.com/profile/bridge-brothers,4.1,Manufacturing,2015,14,bridgebrothers.com,4.1 M,2082%,50000,99.29%,Not Secure,192
https://www.inc.com/profile/dynamic-systems-technology,24.7,Government Services,1995,350,dystech.com,24.7 M,2077%,50000,NA,Not Secure,193
https://www.inc.com/profile/supinf-technologies,4.5,Government Services,2009,10,supinf-tech.com,4.5 M,2077%,50000,NA,Not Secure,194
https://www.inc.com/profile/davis-cargo,32.9,Logistics & Transportation,2014,45,daviscargo.com,32.9 M,2068%,50000,83.27%,Not Secure,195
https://www.inc.com/profile/polaris-energy-services,2.2,Energy,2014,10,polarisenergyservices.com,2.2 M,2047%,50000,NA,Secure,196
https://www.inc.com/profile/setschedule,3.6,Real Estate,2014,NA,setschedule.com,3.6 M,2037%,50000,25.33%,Secure,197
https://www.inc.com/profile/l2-defense,20.8,Government Services,2012,60,l2defense.com,20.8 M,2037%,50000,97.12%,Secure,198
https://www.inc.com/profile/motivosity,3.6,Software,2013,18,motivosity.com/index.html,3.6 M,2030%,NA,6.12%,Secure,199
https://www.inc.com/profile/advoc8,14.3,Advertising & Marketing,2015,30,advoc8.com,14.3 M,2027%,50000,54.17%,Secure,200
https://www.inc.com/profile/real-plans,4,Software,2014,23,realplans.com,4 M,2018%,NA,13.27%,Secure,201
https://www.inc.com/profile/axiom-strategies,138.4,Advertising & Marketing,2005,102,axiomstrategies.com,138.4 M,2013%,50000,82.36%,Secure,202
https://www.inc.com/profile/midway-staffing,40.5,Business Products & Services,2015,"2,330",midwaystaffing.com,40.5 M,2007%,50000,65.82%,Not Secure,203
https://www.inc.com/profile/perfect-part,2.3,Telecommunications,2013,5,theperfectpart.net,2.3 M,2004%,50000,34.25%,Secure,204
